flatter me:1
dumbledore calmly:1
voldemort had:1
had powers:1
powers i:1
i will:313
will never:15
never have:17
only because:9
because you:9
you too:7
too well:19
well noble:1
noble to:1
to use:36
use them:6
it lucky:2
lucky it:1
it dark:4
i haven:22
haven blushed:1
blushed so:1
much since:3
since madam:1
madam pomfrey:13
pomfrey told:1
told me:41
me she:2
she liked:1
liked my:1
my new:1
new earmuffs:1
mcgonagall shot:1
shot a:3
sharp look:2
dumbledore and:4
and said:52
owls are:1
are nothing:1
nothing next:1
the rumors:1
rumors that:1
that are:54
are flying:5
flying around:1
know what:105
what everyone:2
everyone saying:1
about why:1
why he:24
he disappeared:4
about what:11
what finally:1
finally stopped:2
stopped him:1
seemed that:42
that professor:4
mcgonagall had:6
had reached:23
reached the:83
the point:31
point she:1
she was:69
was most:11
most anxious:1
anxious to:10
to discuss:5
the real:13
real reason:1
reason she:1
she had:41
been waiting:2
waiting on:7
a cold:30
hard wall:1
for neither:1
neither as:2
cat nor:1
nor as:2
a woman:9
woman had:1
had she:4
she fixed:1
fixed dumbledore:1
dumbledore with:2
such a:111
a piercing:6
piercing stare:1
stare as:1
she did:8
did now:3
was plain:7
plain that:15
that whatever:2
was saying:14
was not:303
not going:34
to believe:20
believe it:19
it until:4
until dumbledore:1
dumbledore told:2
told her:4
her it:3
was true:8
was choosing:1
choosing another:1
another lemon:1
drop and:1
and did:57
did not:595
not answer:33
they saying:4
she pressed:1
pressed on:7
is that:61
that last:9
last night:36
night voldemort:1
voldemort turned:1
turned up:12
in godric:1
godric hollow:1
went to:93
to find:183
find the:51
the rumor:1
rumor is:1
that lily:1
lily and:2
and james:2
james potter:3
potter are:1
are are:1
are that:4
they dead:4
dumbledore bowed:1
bowed his:10
mcgonagall gasped:1
can believe:5
i didn:32
want to:138
dumbledore reached:1
reached out:5
out and:51
and patted:2
patted her:1
her on:2
the shoulder:7
said heavily:1
mcgonagall voice:1
voice trembled:1
trembled as:2
that not:17
not all:41
saying he:3
he tried:35
to kill:23
kill the:3
the potter:3
potter son:1
couldn kill:3
kill that:1
that little:7
little boy:2
no one:108
one knows:2
knows why:1
or how:6
saying that:11
that when:14
kill harry:2
voldemort power:1
power somehow:1
somehow broke:1
broke and:6
and that:263
that why:10
he gone:10
dumbledore nodded:1
nodded glumly:1
it it:4
it true:6
faltered professor:1
all he:25
he done:7
people he:2
he killed:4
kill a:2
just astounding:1
of all:182
the things:27
things to:19
to stop:30
stop him:16
but how:27
